title,studio,domestic_gross,foreign_gross,year
even the rain,Vita.,518000.0,5300000.0,2011
young goethe in love,MBox,162000.0,5600000.0,2011
111111,Rocket,32800.0,5700000.0,2011
certified copy,IFC,1400000.0,4099999.0,2011
thank you 2011,UTV,464000.0,5000000.0,2011
the company men,Wein.,4400000.0,441000.0,2011
tucker dale vs evil,Magn.,224000.0,4500000.0,2011
london boulevard,IFC,16100.0,4600000.0,2011
dylan dog dead of night,OMNI/FSR,1200000.0,3400000.0,2011
the names of love,MBox,514000.0,4099999.0,2011
burke and hare,IFC,4800.0,4300000.0,2011
king of devils island,FM,7600.0,4200000.0,2011
bride flight,MBox,501000.0,3700000.0,2011
trollhunter,Magn.,253000.0,3900000.0,2011
carancho,Strand,85500.0,3900000.0,2011
like crazy,ParV,3400000.0,336000.0,2011
the double,Imag.,138000.0,3600000.0,2011
love crime,IFC,540000.0,3100000.0,2011
incendies us only,SPC,2100000.0,1500000.0,2011
martha marcy may marlene,FoxS,3000000.0,548000.0,2011
machine gun preacher,Rela.,539000.0,2800000.0,2011
the last circus,Magn.,40500.0,3200000.0,2011
from prada to nada,LGF,3000000.0,123000.0,2011
flypaper,IFC,5000.0,3100000.0,2011
take shelter,SPC,1700000.0,1400000.0,2011
the greatest miracle,KKM,555000.0,2500000.0,2011
rapt,Lorb.,45800.0,2900000.0,2011
pastorela,LGF,161000.0,2700000.0,2011
the double hour,Gold.,1500000.0,1200000.0,2011
3 2011,Strand,60000.0,2600000.0,2011
oranges and sunshine,Cohen,143000.0,2400000.0,2011
ong bak 3,Magn.,14900.0,2300000.0,2011
poetry,Kino,356000.0,1900000.0,2011
the tree,Zeit.,71200.0,2100000.0,2011
the butcher the chef and the swordsman,CL,47900.0,2000000.0,2011
armadillo,Lorb.,14600.0,2000000.0,2011
brighton rock,IFC,230000.0,1600000.0,2011
a somewhat gentle man,Strand,37700.0,1800000.0,2011
the topp twins untouchable girls,Argo.,29300.0,1800000.0,2011
another earth,FoxS,1300000.0,456000.0,2011
chalet girl,IFC,1700.0,1700000.0,2011
yamla pagla deewana,Eros,993000.0,600000.0,2011
uncle boonmee who can recall his past lives,Strand,184000.0,946000.0,2011
london river,Libre,7200.0,1100000.0,2011
when we leave die fremde,Olive,19600.0,1100000.0,2011
vanishing on 7th street,Magn.,22700.0,1000000.0,2011
the time that remains,IFC,32900.0,1000000.0,2011
texas killing fields,Anch.,45500.0,912000.0,2011
miral,Wein.,373000.0,527000.0,2011
submarine,Wein.,468000.0,397000.0,2011
mozarts sister,MBox,708000.0,132000.0,2011
plastic planet,FRun,3200.0,836000.0,2011
chillar party,UTV,6300.0,826000.0,2011
the first grader,NGE,332000.0,382000.0,2011
dhobi ghat mumbai diaries,UTV,577000.0,102000.0,2011
no one killed jessica,UTV,441000.0,193000.0,2011
korkoro,Lorb.,8200.0,619000.0,2011
blackthorn,Magn.,201000.0,423000.0,2011
how i ended this summer,FM,8700.0,614000.0,2011
the ledge,IFC,9200.0,602000.0,2011
heartbeats,IFC,68700.0,520000.0,2011
kaboom,IFC,119000.0,421000.0,2011
protektor,FM,3000.0,469000.0,2011
the other woman,IFC,25400.0,427000.0,2011
rage rabia,Strand,5600.0,403000.0,2011
the human resources manager,FM,64000.0,329000.0,2011
7 khoon maaf,UTV,270000.0,94700.0,2011
another happy day,P4,8500.0,347000.0,2011
the mill and the cross,KC,312000.0,30300.0,2011
special treatment,FRun,8900.0,286000.0,2011
illegal 2011,FM,700.0,289000.0,2011
black death,Magn.,22600.0,243000.0,2011
le quattro volte,Lorb.,153000.0,103000.0,2011
caterpillar,Lorb.,4200.0,248000.0,2011
little girl la pivellina,FRun,1400.0,236000.0,2011
if i want to whistle i whistle,FM,12100.0,220000.0,2011
the robber,Kino,83500.0,125000.0,2011
henrys crime,MPFT,103000.0,102000.0,2011
film socialisme,Lorb.,33000.0,159000.0,2011
leap year 2011,Strand,13000.0,175000.0,2011
a screaming man,FM,9900.0,175000.0,2011
nostalgia for the light,Icar.,164000.0,13700.0,2011
anchor baby,AGF,15800.0,161000.0,2011
road to nowhere,Mont.,40300.0,121000.0,2011
octubre,NYer,32100.0,96700.0,2011
the arbor,Strand,21600.0,105000.0,2011
mysteries of lisbon,MBox,111000.0,14900.0,2011
vidal sassoon the movie,P4,86000.0,38600.0,2011
tuesday after christmas,Lorb.,27800.0,36200.0,2011
brotherhood 2011,P4,19700.0,12700.0,2011
im glad my mother is alive,Strand,8700.0,13200.0,2011
aurora,CGld,5700.0,5100.0,2011
to die like a man,Strand,4000.0,900.0,2011
marvels the avengers,BV,623400000.0,895500000.0,2012
skyfall,Sony,304400000.0,804200000.0,2012
the dark knight rises,WB,448100000.0,636800000.0,2012
the hobbit an unexpected journey,WB (NL),303000000.0,718100000.0,2012
ice age continental drift,Fox,161300000.0,715900000.0,2012
the twilight saga breaking dawn part 2,LG/S,292300000.0,537400000.0,2012
the amazing spiderman,Sony,262000000.0,495900000.0,2012
madagascar 3 europes most wanted,P/DW,216400000.0,530500000.0,2012
the hunger games,LGF,408000000.0,286400000.0,2012
mib 3,Sony,179000000.0,445000000.0,2012
life of pi,Fox,125000000.0,484000000.0,2012
ted,Uni.,218800000.0,330600000.0,2012
brave,BV,237300000.0,303200000.0,2012
wreckit ralph,BV,189400000.0,281800000.0,2012
les miserables 2012,Uni.,148800000.0,293000000.0,2012
the intouchables usonly,Wein.,10200000.0,416400000.0,2012
django unchained,Wein.,162800000.0,262600000.0,2012
prometheus,Fox,126500000.0,276900000.0,2012
snow white and the huntsman,Uni.,155300000.0,241300000.0,2012
taken 2,Fox,139900000.0,236300000.0,2012
hotel transylvania,Sony,148300000.0,210100000.0,2012
dr seuss the lorax,Uni.,214000000.0,134800000.0,2012
titanic 3d,Par.,57900000.0,285700000.0,2012
journey 2 the mysterious island,WB (NL),103900000.0,231400000.0,2012
the expendables 2,LGF,85000000.0,229900000.0,2012
rise of the guardians,P/DW,103400000.0,203500000.0,2012
wrath of the titans,WB,83700000.0,221600000.0,2012
battleship,Uni.,65400000.0,237600000.0,2012
john carter,BV,73100000.0,211100000.0,2012
the bourne legacy,Uni.,113200000.0,162900000.0,2012
lincoln,BV,182200000.0,93100000.0,2012
dark shadows,WB,79700000.0,165800000.0,2012
resident evil retribution,SGem,42300000.0,197700000.0,2012
silver linings playbook,Wein.,132100000.0,104300000.0,2012
american reunion,Uni.,57000000.0,178000000.0,2012
argo,WB,136000000.0,96300000.0,2012
jack reacher,Par.,80100000.0,138300000.0,2012
safe house,Uni.,126400000.0,81700000.0,2012
21 jump street,Sony,138400000.0,63100000.0,2012
total recall 2012,Sony,58900000.0,139600000.0,2012
the vow,SGem,125000000.0,71100000.0,2012
mirror mirror,Rela.,64900000.0,118100000.0,2012
the impossible,LG/S,19000000.0,161300000.0,2012
the dictator,Par.,59700000.0,119700000.0,2012
looper,TriS,66500000.0,110000000.0,2012
magic mike,WB,113700000.0,53500000.0,2012
flight,Par.,93800000.0,68000000.0,2012
underworld awakening,SGem,62300000.0,97800000.0,2012
this means war,Fox,54800000.0,101700000.0,2012
the secret world of arrietty,BV,19200000.0,126400000.0,2012
paranormal activity 4,Par.,53900000.0,88900000.0,2012
step up revolution,LG/S,35100000.0,105400000.0,2012
the best exotic marigold hotel,FoxS,46400000.0,90400000.0,2012
zero dark thirty,Sony,95700000.0,37100000.0,2012
ghost rider spirit of vengeance,Sony,51800000.0,80800000.0,2012
cloud atlas,WB,27100000.0,103400000.0,2012
the woman in black,CBS,54300000.0,73400000.0,2012
chronicle 2012,Fox,64599999.0,62100000.0,2012
the pirates band of misfits,Sony,31100000.0,92000000.0,2012
parental guidance,Fox,77300000.0,42500000.0,2012
abraham lincoln vampire hunter,Fox,37500000.0,79000000.0,2012
pitch perfect,Uni.,65000000.0,50300000.0,2012
hope springs,Sony,63500000.0,50700000.0,2012
paranorman,Focus,56000000.0,51100000.0,2012
the campaign,WB,86900000.0,18000000.0,2012
let the bullets fly,Vari.,63000.0,104300000.0,2012
star wars episode i the phantom menace in 3d,Fox,43500000.0,59300000.0,2012
project x,WB,54700000.0,48000000.0,2012
the devil inside,Par.,53300000.0,48500000.0,2012
the lucky one,WB,60500000.0,38900000.0,2012
contraband,Uni.,66500000.0,29700000.0,2012
think like a man,SGem,91500000.0,4500000.0,2012
this is 40,Uni.,67500000.0,20500000.0,2012
the inbetweeners movie,WHE,36000.0,88000000.0,2012
the possession,LGF,49100000.0,36300000.0,2012
what to expect when youre expecting,LGF,41200000.0,43200000.0,2012
the thieves,WGUSA,686000.0,82800000.0,2012
savages 2012,Uni.,47400000.0,35600000.0,2012
frankenweenie,BV,35300000.0,46200000.0,2012
act of valor,Rela.,70000000.0,11300000.0,2012
masquerade 2012,CJ,923000.0,79800000.0,2012
sinister,LG/S,48100000.0,29600000.0,2012
the grey,ORF,51600000.0,25700000.0,2012
diary of a wimpy kid dog days,Fox,49000000.0,28100000.0,2012
to rome with love,SPC,16700000.0,56600000.0,2012
here comes the boom,Sony,45300000.0,27800000.0,2012
finding nemo 3d,BV,41100000.0,28200000.0,2012
anna karenina,Focus,12800000.0,56100000.0,2012
the watch,Fox,35400000.0,32900000.0,2012
moonrise kingdom,Focus,45500000.0,22800000.0,2012
tyler perrys madeas witness protection,LGF,65700000.0,1200000.0,2012
the cabin in the woods,LGF,42100000.0,24400000.0,2012
beauty and the beast 3d,BV,47600000.0,14400000.0,2012
rock of ages,WB (NL),38500000.0,20900000.0,2012
thats my boy,Sony,36900000.0,20800000.0,2012
the odd life of timothy green,BV,51900000.0,4200000.0,2012
the three stooges,Fox,44300000.0,10500000.0,2012
the fiveyear engagement,Uni.,28800000.0,25100000.0,2012
lawless,Wein.,37400000.0,16300000.0,2012
silent hill revelation 3d,ORF,17500000.0,34800000.0,2012
red tails,Fox,49900000.0,489000.0,2012
monsters inc 3d,BV,34000000.0,16200000.0,2012
trouble with the curve,WB,35800000.0,13200000.0,2012
little white lies,MPI,206000.0,48300000.0,2012
end of watch,ORF,41000000.0,7100000.0,2012
man on a ledge,LG/S,18600000.0,27600000.0,2012
house at the end of the street,Rela.,31600000.0,12700000.0,2012
the guilt trip,Par.,37100000.0,4700000.0,2012
a werewolf boy,CJ,343000.0,41300000.0,2012
safe 2012,LGF,17100000.0,23200000.0,2012
killing them softly,Wein.,15000000.0,22900000.0,2012
chernobyl diaries,WB,18100000.0,19000000.0,2012
one for the money,LGF,26400000.0,10500000.0,2012
dredd,LGF,13400000.0,22200000.0,2012
tyler perrys good deeds,LGF,35000000.0,553000.0,2012
arbitrage,RAtt.,7900000.0,27600000.0,2012
chimpanzee,BV,29000000.0,5900000.0,2012
alex cross,LG/S,25900000.0,8700000.0,2012
salmon fishing in the yemen,CBS,9000000.0,25500000.0,2012
fetih 1453 the conquest of constantinople,NeoC,35700.0,34400000.0,2012
cirque du soleil worlds away,Par.,12500000.0,21600000.0,2012
the perks of being a wallflower,LG/S,17700000.0,15600000.0,2012
haywire,Rela.,18900000.0,14400000.0,2012
katy perry part of me,Par.,25300000.0,7400000.0,2012
lockout,FD,14300000.0,17900000.0,2012
joyful noise,WB,30900000.0,226000.0,2012
premium rush,Sony,20300000.0,10800000.0,2012
the raven,Rela.,16000000.0,13600000.0,2012
rowdy rathore,UTV,777000.0,28600000.0,2012
dragon 2012,RTWC,11100.0,29100000.0,2012
bol bachchan,FIP,1200000.0,27600000.0,2012
the master,Wein.,16399999.0,11900000.0,2012
rust and bone,SPC,2100000.0,23700000.0,2012
big miracle,Uni.,20200000.0,4600000.0,2012
sparkle 2012,TriS,24400000.0,240000.0,2012
to the arctic imax,WB,14600000.0,9100000.0,2012
hitchcock,FoxS,6000000.0,17600000.0,2012
a thousand words,P/DW,18500000.0,3600000.0,2012
wanderlust,Uni.,17500000.0,4200000.0,2012
beasts of the southern wild,FoxS,12800000.0,8300000.0,2012
polisse,IFC,211000.0,20200000.0,2012
amour,SPC,6700000.0,13100000.0,2012
the man with the iron fists,Uni.,15600000.0,4099999.0,2012
seven psychopaths,CBS,15000000.0,4400000.0,2012
gone,LG/S,11700000.0,6400000.0,2012
norwegian wood,RF,13000.0,17600000.0,2012
the cold light of day,LG/S,3800000.0,13100000.0,2012
my way 2012,CJ,70200.0,16500000.0,2012
tomorrow when the war began,Free,4900.0,16500000.0,2012
we have a pope,IFC,548000.0,15600000.0,2012
headhunters,Magn.,1200000.0,14500000.0,2012
hit and run,ORF,13700000.0,704000.0,2012
war of the buttons 2012,Wein.,47800.0,13800000.0,2012
red lights 2012,MNE,52600.0,13500000.0,2012
the words,CBS,11500000.0,1700000.0,2012
silent house,ORF,12800000.0,347000.0,2012
friends with kids,RAtt.,7300000.0,5800000.0,2012
the welldiggers daughter,KL,386000.0,12200000.0,2012
klown,Drft.,68800.0,12400000.0,2012
seeking justice,Anch.,412000.0,11900000.0,2012
bachelorette,RTWC,448000.0,11500000.0,2012
this must be the place,Wein.,144000.0,11600000.0,2012
fun size,Par.,9400000.0,2000000.0,2012
rec 3 genesis,Magn.,9600.0,10100000.0,2012
delicacy,Cohen,499000.0,9200000.0,2012
seeking a friend for the end of the world,Focus,7100000.0,2600000.0,2012
the apparition,WB,4900000.0,4700000.0,2012
for greater glory,ArcEnt,5700000.0,4000000.0,2012
hysteria,SPC,1800000.0,7700000.0,2012
the sessions,FoxS,6000000.0,3100000.0,2012
ruby sparks,FoxS,2500000.0,6600000.0,2012
hyde park on hudson,Focus,6400000.0,2500000.0,2012
on the road,IFC,744000.0,8000000.0,2012
boy 2012,PalUni,256000.0,8400000.0,2012
piranha 3dd,W/Dim.,377000.0,8100000.0,2012
easy money 2012,Wein.,206000.0,8199999.0,2012
space dogs 3d,EpicPics,14400.0,8300000.0,2012
bel ami,Magn.,120000.0,8199999.0,2012
promised land 2012,Focus,7600000.0,541000.0,2012
iron sky,EOne,122000.0,8000000.0,2012
casa de mi padre,LGF,5900000.0,2100000.0,2012
heroine,UTV,599000.0,7400000.0,2012
a royal affair,Magn.,1500000.0,6000000.0,2012
all together,KL,43200.0,7200000.0,2012
my worst nightmare,Strand,22000.0,7100000.0,2012
monsieur lazhar usonly,MBox,2000000.0,4600000.0,2012
goon,Magn.,4200000.0,2300000.0,2012
cosmopolis,EOne,764000.0,5300000.0,2012
chasing mavericks,Fox,6000000.0,600.0,2012
declaration of war,IFC,59100.0,5800000.0,2012
puella magi madoka magica the movie,Elev.,180000.0,5600000.0,2012
albert nobbs,RAtt.,3000000.0,2600000.0,2012
in darkness,SPC,1000000.0,4500000.0,2012
farewell my queen,Cohen,1600000.0,3700000.0,2012
girl in progress,LGF,2600000.0,2000000.0,2012
jeff who lives at home,ParV,4300000.0,148000.0,2012
barbara,AF,1000000.0,3100000.0,2012
nitro circus the movie 3d,ArcEnt,3400000.0,526000.0,2012
the lady,Cohen,355000.0,3400000.0,2012
branded,RAtt.,354000.0,3400000.0,2012
the rabbis cat,GK,23400.0,3700000.0,2012
killer joe,LD,2000000.0,1700000.0,2012
harakiri death of a samurai,Trib.,75700.0,3400000.0,2012
intruders,MNE,69100.0,2900000.0,2012
a simple life,CL,192000.0,2600000.0,2012
simon and the oaks,TFA,151000.0,2400000.0,2012
kid with a bike,IFC,1500000.0,1000000.0,2012
chico rita,GK,351000.0,1900000.0,2012
stolen 2012,MNE,304000.0,1800000.0,2012
the imposter,IM,898000.0,1100000.0,2012
the day i saw your heart,FM,3500.0,2000000.0,2012
tales of the night,GK,11000.0,1700000.0,2012
beloved 2012,IFC,138000.0,1500000.0,2012
360,Magn.,100000.0,1600000.0,2012
2 days in new york,Magn.,633000.0,1000000.0,2012
hermano,MBox,29900.0,1600000.0,2012
lay the favorite,RTWC,21000.0,1600000.0,2012
soldiers of fortune,RAtt.,38900.0,1500000.0,2012
i wish,Magn.,146000.0,1400000.0,2012
the salt of life,Zeit.,317000.0,1200000.0,2012
chicken with plums,SPC,254000.0,1200000.0,2012
the paperboy,MNE,693000.0,661000.0,2012
unforgivable,Strand,154000.0,1200000.0,2012
a little bit of heaven,MNE,15400.0,1300000.0,2012
meerkats,NGE,778000.0,482000.0,2012
once upon a time in anatolia,CGld,152000.0,1000000.0,2012
coriolanus,Wein.,757000.0,315000.0,2012
elles,KL,158000.0,754000.0,2012
we,Wein.,583000.0,285000.0,2012
breathing,KL,4600.0,803000.0,2012
free men,FM,53800.0,564000.0,2012
sister 2012,AF,155000.0,400000.0,2012
bully 2012,Wein.,279000.0,182000.0,2012
apartment 143,Magn.,400.0,426000.0,2012
universal soldier day of reckoning,Magn.,5500.0,364000.0,2012
17 girls,Strand,15100.0,186000.0,2012
butter,RTWC,105000.0,70700.0,2012
kill list,IFC,29100.0,143000.0,2012
toys in the attic,Hann.,64900.0,61600.0,2012
wagner me,FRun,37700.0,41000.0,2012
attenberg,Strand,24000.0,45900.0,2012
north sea texas,Strand,28300.0,16700.0,2012
cirkus columbia,Strand,3500.0,9500.0,2012
frozen,BV,400700000.0,875700000.0,2013
iron man 3,BV,409000000.0,805800000.0,2013
despicable me 2,Uni.,368100000.0,602700000.0,2013
the hobbit the desolation of smaug,WB (NL),258399999.0,700000000.0,2013
the hunger games catching fire,LGF,424700000.0,440300000.0,2013
fast furious 6,Uni.,238700000.0,550000000.0,2013
monsters university,BV,268500000.0,475700000.0,2013
gravity,WB,274100000.0,449100000.0,2013
man of steel,WB,291000000.0,377000000.0,2013
thor the dark world,BV,206400000.0,438200000.0,2013
the croods,Fox,187200000.0,400000000.0,2013
world war z,Par.,202400000.0,337600000.0,2013
oz the great and powerful,BV,234900000.0,258399999.0,2013
star trek into darkness,Par.,228800000.0,238600000.0,2013
the wolverine,Fox,132600000.0,282300000.0,2013
pacific rim,WB,101800000.0,309200000.0,2013
the wolf of wall street,Par.,116900000.0,275100000.0,2013
gi joe retaliation,Par.,122500000.0,253200000.0,2013
the hangover part iii,WB,112200000.0,249800000.0,2013
the great gatsby 2013,WB,144800000.0,208800000.0,2013
now you see me,LG/S,117700000.0,234000000.0,2013
the smurfs 2,Sony,71000000.0,276500000.0,2013
the conjuring,WB (NL),137400000.0,182100000.0,2013
a good day to die hard,Fox,67300000.0,237300000.0,2013
oblivion,Uni.,89100000.0,197100000.0,2013
elysium,TriS,93100000.0,193100000.0,2013
turbo,Fox,83000000.0,199500000.0,2013
cloudy with a chance of meatballs 2,Sony,119800000.0,154500000.0,2013
were the millers,WB (NL),150400000.0,119600000.0,2013
epic,Fox,107500000.0,160900000.0,2013
the lone ranger,BV,89300000.0,171200000.0,2013
american hustle,Sony,150100000.0,101100000.0,2013
grown ups 2,Sony,133699999.0,113300000.0,2013
after earth,Sony,60500000.0,183300000.0,2013
planes,BV,90300000.0,149000000.0,2013
the heat,Fox,159600000.0,70300000.0,2013
hansel and gretel witch hunters,Par.,55700000.0,170600000.0,2013
captain phillips,Sony,107100000.0,111700000.0,2013
white house down,Sony,73100000.0,132300000.0,2013
percy jackson sea of monsters,Fox,68600000.0,131300000.0,2013
lost in thailand,WAMCR,57400.0,197700000.0,2013
jack the giant slayer,WB (NL),65200000.0,132500000.0,2013
the secret life of walter mitty,Fox,58200000.0,129900000.0,2013
12 years a slave,FoxS,56700000.0,131100000.0,2013
lee daniels the butler,Wein.,116600000.0,60000000.0,2013
identity thief,Uni.,134500000.0,39500000.0,2013
anchorman 2 the legend continues,Par.,125200000.0,46300000.0,2013
olympus has fallen,FD,98900000.0,71300000.0,2013
insidious chapter 2,FD,83600000.0,78300000.0,2013
lone survivor,Uni.,125100000.0,29700000.0,2013
jackass presents bad grandpa,Par.,102000000.0,49800000.0,2013
47 ronin,Uni.,38400000.0,113400000.0,2013
red 2,LG/S,53300000.0,94800000.0,2013
mama,Uni.,71600000.0,74800000.0,2013
escape plan,LG/S,25100000.0,112200000.0,2013
last vegas,CBS,63900000.0,70500000.0,2013
2 guns,Uni.,75600000.0,56300000.0,2013
walking with dinosaurs,Fox,36100000.0,90500000.0,2013
this is the end,Sony,101500000.0,24600000.0,2013
enders game,LG/S,61700000.0,63800000.0,2013
prisoners,WB,61000000.0,61100000.0,2013
saving mr banks,BV,83300000.0,34600000.0,2013
warm bodies,LG/S,66400000.0,50600000.0,2013
jurassic park 3d,Uni.,45400000.0,71100000.0,2013
personal tailor,CL,376000.0,115800000.0,2013
free birds,Rela.,55800000.0,54600000.0,2013
gangster squad,WB,46000000.0,59200000.0,2013
philomena,Wein.,37700000.0,62400000.0,2013
instructions not included,LGF,44500000.0,54600000.0,2013
riddick,Uni.,42000000.0,56300000.0,2013
safe haven,Rela.,71300000.0,26200000.0,2013
evil dead 2013,TriS,54200000.0,43300000.0,2013
blue jasmine,SPC,33400000.0,64099999.0,2013
the mortal instruments city of bones,SGem,31200000.0,64200000.0,2013
the internship,Fox,44700000.0,48800000.0,2013
rush 2013,Uni.,26900000.0,63300000.0,2013
the purge,Uni.,64500000.0,24900000.0,2013
dhoom 3,Yash,8000000.0,80000000.0,2013
about time,Uni.,15300000.0,71800000.0,2013
pain and gain,Par.,49900000.0,36300000.0,2013
carrie 2013,SGem,35300000.0,49500000.0,2013
the family 2013,Rela.,36900000.0,41500000.0,2013
scary movie 5,W/Dim.,32000000.0,46400000.0,2013
ripd,Uni.,33600000.0,44700000.0,2013
tiny times,CL,23500.0,77700000.0,2013
the book thief,Fox,21500000.0,55100000.0,2013
escape from planet earth,Wein.,57000000.0,17600000.0,2013
august osage county,Wein.,37700000.0,36500000.0,2013
the best man holiday,Uni.,70500000.0,2300000.0,2013
young detective dee rise of the sea dragon,WAMCR,87800.0,72200000.0,2013
the counselor,Fox,17000000.0,54000000.0,2013
the call,TriS,51900000.0,16700000.0,2013
one direction this is us,TriS,28900000.0,39700000.0,2013
the grandmaster,Wein.,6600000.0,57500000.0,2013
side effects 2013,ORF,32200000.0,31200000.0,2013
the host 2013,ORF,26600000.0,36700000.0,2013
runner runner,Fox,19300000.0,43400000.0,2013
from up on poppy hill,GK,1000000.0,60000000.0,2013
kickass 2,Uni.,28800000.0,32000000.0,2013
a haunted house,ORF,40000000.0,20100000.0,2013
beautiful creatures 2013,WB,19500000.0,40600000.0,2013
quartet,Wein.,18400000.0,41100000.0,2013
dallas buyers club,Focus,27300000.0,27900000.0,2013
the face reader,PM&E,516000.0,54100000.0,2013
tyler perrys a madea christmas,LGF,52500000.0,853000.0,2013
tyler perrys temptation confessions of a marriage counselor,LGF,52000000.0,1200000.0,2013
delivery man,BV,30700000.0,19300000.0,2013
the berlin file,CJ,665000.0,48300000.0,2013
the last stand,LGF,12100000.0,36300000.0,2013
21 and over,Rela.,25700000.0,22400000.0,2013
her 2013,WB,25600000.0,21800000.0,2013
tiny times 2,CL,43800.0,47200000.0,2013
texas chainsaw 3d,LGF,34300000.0,12900000.0,2013
the big wedding,LGF,21800000.0,24700000.0,2013
parker,FD,17600000.0,28600000.0,2013
the worlds end,Focus,26000000.0,20100000.0,2013
grudge match,WB,29800000.0,15100000.0,2013
homefront,ORF,20200000.0,22900000.0,2013
jobs,ORF,16100000.0,19800000.0,2013
the place beyond the pines,Focus,21400000.0,14100000.0,2013
inside llewyn davis,CBS,13200000.0,19700000.0,2013
mud,RAtt.,21600000.0,11000000.0,2013
movie 43,Rela.,8800000.0,23600000.0,2013
kevin hart let me explain,LG/S,32200000.0,74000.0,2013
spring breakers,A24,14100000.0,17600000.0,2013
new world 2013,WGUSA,458000.0,31200000.0,2013
don jon,Rela.,24500000.0,6000000.0,2013
i give it a year,Magn.,34700.0,28200000.0,2013
nebraska,Par.,17700000.0,10000000.0,2013
the incredible burt wonderstone,WB (NL),22500000.0,4900000.0,2013
mandela long walk to freedom,Wein.,8300000.0,19000000.0,2013
khumba,MNE,1000.0,27200000.0,2013
dark skies,W/Dim.,17400000.0,9000000.0,2013
enough said,FoxS,17600000.0,7700000.0,2013
trance,FoxS,2300000.0,21900000.0,2013
the way way back,FoxS,21500000.0,1700000.0,2013
kontiki,Wein.,1500000.0,21300000.0,2013
baggage claim,FoxS,21600000.0,887000.0,2013
diana,EOne,335000.0,21400000.0,2013
the great beauty,Jan.,2900000.0,18500000.0,2013
the sapphires,Wein.,2500000.0,18000000.0,2013
the company you keep,SPC,5100000.0,14500000.0,2013
the bling ring,A24,5800000.0,13300000.0,2013
dead man down,FD,10900000.0,7200000.0,2013
fruitvale station,Wein.,16100000.0,1300000.0,2013
battle of the year,SGem,8900000.0,7700000.0,2013
out of the furnace,Rela.,11300000.0,4300000.0,2013
billy and buddy,Distrib.,900.0,15200000.0,2013
machete kills,ORF,8000000.0,7000000.0,2013
journey to the south pacific,Imax,7600000.0,6500000.0,2013
paranoia,Rela.,7400000.0,6400000.0,2013
all is lost,RAtt.,6300000.0,7400000.0,2013
puella magi madoka magica the movie rebellion,Elev.,376000.0,12600000.0,2013
stoker,FoxS,1700000.0,10400000.0,2013
in the house,Cohen,390000.0,11500000.0,2013
im so excited,SPC,1400000.0,10400000.0,2013
haute cuisine,Wein.,218000.0,11200000.0,2013
before midnight,SPC,8100000.0,3100000.0,2013
only god forgives,RTWC,779000.0,9900000.0,2013
the past,SPC,1300000.0,9300000.0,2013
love is all you need,SPC,1600000.0,8400000.0,2013
tyler perry presents peeples,LGF,9200000.0,130000.0,2013
jerusalem,NGE,8000000.0,1300000.0,2013
the fifth estate,BV,3300000.0,5300000.0,2013
upside down,MNE,105000.0,8000000.0,2013
metallica through the never,PH,3400000.0,4600000.0,2013
pulling strings,LGF,5800000.0,2000000.0,2013
black nativity,FoxS,7000000.0,436000.0,2013
blue is the warmest color,IFC,2200000.0,5200000.0,2013
unfinished song,Wein.,1700000.0,5300000.0,2013
the angels share,IFC,347000.0,6700000.0,2013
the sweeney,EOne,26700.0,6300000.0,2013
